Source,Target,Weight,Label,Type
4,1183,1,Año,Dirigido
4,1184,1,Artista,Dirigido
4,1185,1,Año,Dirigido
4,1187,1,Año,Dirigido
4,1188,1,Año,Dirigido
4,1189,1,Año,Dirigido
4,1190,1,Año,Dirigido
4,1191,1,Año,Dirigido
4,1192,1,Año,Dirigido
4,1193,1,Año,Dirigido
4,1194,1,Año,Dirigido
4,1195,1,Año,Dirigido
4,1196,1,Año,Dirigido
4,1197,1,Año,Dirigido
4,1198,1,Año,Dirigido
4,1199,1,Año,Dirigido
4,1202,1,Año,Dirigido
4,1203,1,Año,Dirigido
4,1205,1,Año,Dirigido
4,1206,1,Año,Dirigido
4,1207,1,Año,Dirigido
4,1211,1,Año,Dirigido
4,1214,1,Año,Dirigido
4,1215,1,Año,Dirigido
4,1217,1,Año,Dirigido
4,1222,1,Año,Dirigido
4,1223,1,Año,Dirigido
4,1224,1,Año,Dirigido
4,1231,1,Año,Dirigido
4,1233,1,Año,Dirigido
4,1253,1,Año,Dirigido
4,1264,1,Año,Dirigido
4,1265,1,Año,Dirigido
4,1266,1,Año,Dirigido
4,1270,1,Año,Dirigido
4,1273,1,Año,Dirigido
4,1275,1,Año,Dirigido
4,1445,1,Año,Dirigido
4,1449,1,Año,Dirigido
4,1460,1,Año,Dirigido
5,7,1,Artista,Dirigido
5,8,1,Año,Dirigido
5,14,1,Artista,Dirigido
5,19,1,Artista,Dirigido
5,22,1,Artista,Dirigido
5,25,1,Año,Dirigido
5,34,1,Artista,Dirigido
5,136,1,Año,Dirigido
5,142,1,Año,Dirigido
5,144,1,Año,Dirigido
5,148,1,Año,Dirigido
5,151,1,Año,Dirigido
5,160,1,Año,Dirigido
5,163,1,Año,Dirigido
5,166,1,Año,Dirigido
5,169,1,Año,Dirigido
5,185,1,Año,Dirigido
5,208,1,Año,Dirigido
5,223,1,Año,Dirigido
5,230,1,Año,Dirigido
5,233,1,Año,Dirigido
5,242,1,Año,Dirigido
5,250,1,Año,Dirigido
5,266,1,Año,Dirigido
5,269,1,Año,Dirigido
5,273,1,Año,Dirigido
5,274,1,Año,Dirigido
5,277,1,Año,Dirigido
5,285,1,Año,Dirigido
5,299,1,Año,Dirigido
5,335,1,Año,Dirigido
5,339,1,Año,Dirigido
5,351,1,Año,Dirigido
5,353,1,Año,Dirigido
5,356,1,Año,Dirigido
5,364,1,Año,Dirigido
5,372,1,Año,Dirigido
5,378,1,Año,Dirigido
5,381,1,Año,Dirigido
5,384,1,Año,Dirigido
5,388,1,Año,Dirigido
5,392,1,Año,Dirigido
5,393,1,Año,Dirigido
5,400,1,Año,Dirigido
5,401,1,Año,Dirigido
5,416,1,Año,Dirigido
5,500,1,Año,Dirigido
5,501,1,Año,Dirigido
5,502,1,Año,Dirigido
5,508,1,Año,Dirigido
5,509,1,Año,Dirigido
5,510,1,Año,Dirigido
5,512,1,Año,Dirigido
5,514,1,Año,Dirigido
5,516,1,Año,Dirigido
5,520,1,Año,Dirigido
5,522,1,Año,Dirigido
5,527,1,Año,Dirigido
5,658,1,Año,Dirigido
5,663,1,Año,Dirigido
5,664,1,Año,Dirigido
5,665,1,Año,Dirigido
5,666,1,Año,Dirigido
5,667,1,Año,Dirigido
5,668,1,Año,Dirigido
5,669,1,Año,Dirigido
5,670,1,Año,Dirigido
5,673,1,Año,Dirigido
5,674,1,Año,Dirigido
5,676,1,Año,Dirigido
5,677,1,Año,Dirigido
5,678,1,Año,Dirigido
5,679,1,Año,Dirigido
5,680,1,Año,Dirigido
5,681,1,Año,Dirigido
5,682,1,Año,Dirigido
5,687,1,Año,Dirigido
5,688,1,Año,Dirigido
5,690,1,Año,Dirigido
5,691,1,Año,Dirigido
5,692,1,Año,Dirigido
5,693,1,Año,Dirigido
5,694,1,Año,Dirigido
5,695,1,Año,Dirigido
5,700,1,Año,Dirigido
5,701,1,Año,Dirigido
5,704,1,Año,Dirigido
5,707,1,Año,Dirigido
5,709,1,Año,Dirigido
5,712,1,Año,Dirigido
5,719,1,Año,Dirigido
5,720,1,Año,Dirigido
5,733,1,Año,Dirigido
5,735,1,Año,Dirigido
5,736,1,Año,Dirigido
5,737,1,Año,Dirigido
5,743,1,Año,Dirigido
5,747,1,Año,Dirigido
5,748,1,Año,Dirigido
5,753,1,Año,Dirigido
5,754,1,Año,Dirigido
5,763,1,Año,Dirigido
5,765,1,Año,Dirigido
5,768,1,Año,Dirigido
5,771,1,Año,Dirigido
5,772,1,Año,Dirigido
5,774,1,Año,Dirigido
5,780,1,Año,Dirigido
5,783,1,Año,Dirigido
5,790,1,Año,Dirigido
5,794,1,Año,Dirigido
5,795,1,Año,Dirigido
5,798,1,Año,Dirigido
5,809,1,Año,Dirigido
5,811,1,Año,Dirigido
5,813,1,Año,Dirigido
5,814,1,Año,Dirigido
5,820,1,Año,Dirigido
5,824,1,Año,Dirigido
5,826,1,Año,Dirigido
5,827,1,Año,Dirigido
5,828,1,Año,Dirigido
5,829,1,Año,Dirigido
5,882,1,Año,Dirigido
5,883,1,Año,Dirigido
5,884,1,Año,Dirigido
5,885,1,Año,Dirigido
5,887,1,Año,Dirigido
5,889,1,Año,Dirigido
5,890,1,Año,Dirigido
5,891,1,Año,Dirigido
5,892,1,Año,Dirigido
5,893,1,Año,Dirigido
5,894,1,Año,Dirigido
5,895,1,Año,Dirigido
5,897,1,Año,Dirigido
5,898,1,Año,Dirigido
5,899,1,Año,Dirigido
5,901,1,Año,Dirigido
5,905,1,Año,Dirigido
5,906,1,Año,Dirigido
5,907,1,Año,Dirigido
5,908,1,Año,Dirigido
5,910,1,Año,Dirigido
